concise enumeration
compose it
forebodings are
nothing but
wither away
disgraceful suffering
separate nation
they had
whatever apparent
firmly bound
guided by
problems are
maintain order
pay off
seeking responsibility
violated confidence
years chiefly
good sense
easily with
my energies
satisfy his
200th anniversary
of fleets
earnestly hoped
patronage which
all in
long enjoy
all it
all is
stations able
building democracy
general election
disinterested sacrifices
marshals its
fear itself
referred to
adopted will
for him
private individual
accomplished much
the assurance
liberty unassailed
restraints imposed
estimate these
insuperable obstacles
innumerable subjects
geographical parties
against hostile
your indulgence
poor children
the energies
refresh our
unparalleled unanimity
difficulties connected
shall reveal
unplowed ground
tasks set
necessary qualification
will greatly
am confident
better feeling
than 5,000,000
display stamina
matters connected
great essential
emerge from
momentum of
demolish us
its creation
exchange places
limited only
most honorable
closing in
perhaps unavoidable
bad faith
highest expression
waste committed
external as
by horseback
designation are
its preservation
be erroneous
will reclaim
for deliberating
a general
evil without
and confiding
country a
other subjects
country i
perfectly illustrated
their measures
large responsibility
and gangs
integrity and
second thought
free institutions
present enjoy
joy when
delicate trust
specified powers
frankly recognize
balance of
and outlawry
regulate these
obnoxious laws
very thoughtfully
vicious methods
independent expression
are unnatural
the pleasures
be invented
ago against
and infinitely
were displayed
as called
be equally
the issue
suggesting plans
taxation requisite
fully set
monumental man
development based
that searching
any appointment
has scarcely
with the
consistent both
more meager
derives from
survived from
foreign trade
becoming citizens
support of
solve wisely
due time
purely partisan
elsewhere producing
to climb
it any
contacts which
a development
happy millions
chords of
same means
pitilessly the
borne than
perfect equality
wealth can
are essentially
collaborator with
before the
this remarkable
a strong
endowed them
wrong side
been proposed
revenue limit
factory has
faithfully execute
devoted public
providential aids
be candidly
promoted education
a far
i desire
set up
us the
between battalions
from and
unjust advantage
rivet its
the policy
conflicting elements
especial severity
strong support
opinion through
make laws
and ratifications
legalized larceny
written down
carefully were
error than
steps if
happy heart
she sends
don't mean
be unlearned
century's beginning
must expand
give pain
shall find
just reflection
inseparable relationship
appalling to
order the
commending every
of civilization
hundred years
has departed
engineers to
quote from
home and
fervently pray
revolution where
high course
task today
disloyal thousands
has given
were distinct
infirm are
sow conflict
too in
sanctity of
agreement designed
shall cordially
treating the
taking part
his hand
remember what
to perform
again--but always
or encroaching
every other
in stamping
just emerging
remarked that
for electors
necessity would
these purposes
assuming responsibilities
own abuses
was bestowed
a person
honorable terms
and occupying
inspired leaders
declared that
in upon
displayed in
to revitalize
every field
to reinstate
are provincials
better understood
wages paid
given freedom
than desirable
and sturdiness
such concessions
may freely
practice of
icy river
of coarse
has reminded
attest once
aggregate of
firmest pillars
been reserved
air rings
those circumstances
rediscover what
several acts
labor question
the duties
ever faced
traveled across
and have
level of
before encountered
an usurper
be ashamed
foreign places
fully illustrated
discussing limits
neighborhood were
might always
real duty
moment when
most humble
false facts
the genuine
most perfect
distracted our
greater common
our steps
expeditionary force
contribute most
very gratifying
opposition prevent
corrupting passion
purposes entirely
so officered
the details
which took
discrediting an
been chosen
be considered
uniformly outrun
all articles
already possess
one ambiguity
subject rich
our widespread
credit best
without renewing
and consecration
lightened tax
i deem
allied members
is heading
the supreme
serious obligations
to apprehend
that fourth
short road
if persisted
principles of
deems essential
was made
unity of
that appointments
of flawed
imperishable glories
i only
necessity of
distributed generally
world united
of womanhood
object sought
injuries which
his character
understanding between
been passed
to contend
new-world democracy
guarded against
adherence to
have enlarged
their propriety
these powerful
liberties only
agony is
public revenue
darkest hours
presented which
serious burdens
their bread
being inflicted
executive i
plural executive
rail from
have itemized
necessary financing
must henceforth
honored their
more careful
must in
day renew
the delivering
work out
must it
work for
run counter
gone hand
considerable progress
nation's robe
adopted country
not savor
last hope
that congregations
surrounded by
whose cases
and entrepreneurial
candidacy for
us we
the admiration
residue of
conditions under
every sound
custody of
meant one
alone that
will likewise
our territory
almost two
